time,from,to,value
101.00,c1.out_0,c2.in_0,0
101.00,c1.out_0,c2.in_0,0
101.00,c2.out_1,c3.in_0,0
102.00,c2.out_1,c3.in_0,1
102.00,c1.out_0,c2.in_0,1
102.00,c1.out_0,c2.in_0,1
102.00,c2.out_1,c3.in_0,1
103.00,c2.out_1,c3.in_0,0
103.00,c1.out_0,c2.in_0,0
103.00,c1.out_0,c2.in_0,0
103.00,c2.out_1,c3.in_0,0
104.00,c2.out_1,c3.in_0,1
104.00,c1.out_0,c2.in_0,1
104.00,c1.out_0,c2.in_0,1
104.00,c2.out_1,c3.in_0,1
105.00,c2.out_1,c3.in_0,1
105.00,c1.out_0,c2.in_0,1
105.00,c1.out_0,c2.in_0,1
105.00,c2.out_1,c3.in_0,1
106.00,c2.out_1,c3.in_0,1
106.00,c1.out_0,c2.in_0,1
106.00,c1.out_0,c2.in_0,1
106.00,c2.out_1,c3.in_0,1
107.00,c2.out_1,c3.in_0,1
107.00,c1.out_0,c2.in_0,1
107.00,c1.out_0,c2.in_0,1
107.00,c2.out_1,c3.in_0,1
108.00,c2.out_1,c3.in_0,0
108.00,c1.out_0,c2.in_0,0
108.00,c1.out_0,c2.in_0,0
108.00,c2.out_1,c3.in_0,0
109.00,c2.out_1,c3.in_0,0
109.00,c1.out_0,c2.in_0,0
109.00,c1.out_0,c2.in_0,0
109.00,c2.out_1,c3.in_0,0
110.00,c2.out_1,c3.in_0,0
110.00,c1.out_0,c2.in_0,0
110.00,c1.out_0,c2.in_0,0
110.00,c2.out_1,c3.in_0,0
111.00,c2.out_1,c3.in_0,1
111.00,c1.out_0,c2.in_0,1
111.00,c1.out_0,c2.in_0,1
111.00,c2.out_1,c3.in_0,1
112.00,c2.out_1,c3.in_0,0
112.00,c1.out_0,c2.in_0,0
112.00,c1.out_0,c2.in_0,0
112.00,c2.out_1,c3.in_0,0
113.00,c2.out_1,c3.in_0,1
113.00,c1.out_0,c2.in_0,1
113.00,c1.out_0,c2.in_0,1
113.00,c2.out_1,c3.in_0,1
114.00,c2.out_1,c3.in_0,1
114.00,c1.out_0,c2.in_0,1
114.00,c1.out_0,c2.in_0,1
114.00,c2.out_1,c3.in_0,1
115.00,c2.out_1,c3.in_0,1
115.00,c1.out_0,c2.in_0,1
115.00,c1.out_0,c2.in_0,1
115.00,c2.out_1,c3.in_0,1
116.00,c2.out_1,c3.in_0,0
116.00,c1.out_0,c2.in_0,0
116.00,c1.out_0,c2.in_0,0
116.00,c2.out_1,c3.in_0,0
117.00,c2.out_1,c3.in_0,0
117.00,c1.out_0,c2.in_0,0
117.00,c1.out_0,c2.in_0,0
117.00,c2.out_1,c3.in_0,0
118.00,c2.out_1,c3.in_0,1
118.00,c1.out_0,c2.in_0,1
118.00,c1.out_0,c2.in_0,1
118.00,c2.out_1,c3.in_0,1
119.00,c2.out_1,c3.in_0,1
119.00,c1.out_0,c2.in_0,1
119.00,c1.out_0,c2.in_0,1
119.00,c2.out_1,c3.in_0,1
120.00,c2.out_1,c3.in_0,1
120.00,c1.out_0,c2.in_0,1
120.00,c1.out_0,c2.in_0,1
120.00,c2.out_1,c3.in_0,1
121.00,c2.out_1,c3.in_0,0
